national_dex_num,CODE,SERIAL,NAME,FORM,TYPE1,TYPE2,CATEGORY,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA,HEIGHT,WEIGHT,HP,ATK,DEF,SP ATK,SP DEF,SPD,TOTAL
134,1,13401,Vaporeon,,Water,,Bubble Jet,Blue,Water Absorb,,Hydration,1,0,0,1,29,130,65,60,110,95,65,525
135,1,13501,Jolteon,,Electric,,Lightning,Yellow,Volt Absorb,,Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525
136,1,13601,Flareon,,Fire,,Flame,Red,Flash Fire,,Guts,1,0,0,0.9,25,65,130,60,95,110,65,525
137,1,13701,Porygon,,Normal,,Virtual,Pink,Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395
138,1,13801,Omanyte,,Rock,Water,Spiral,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355
139,1,13901,Omastar,,Rock,Water,Spiral,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,1,35,70,60,125,115,70,55,495
140,1,14001,Kabuto,,Rock,Water,Shellfish,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355
141,1,14101,Kabutops,,Rock,Water,Shellfish,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495
142,1,14201,Aerodactyl,,Rock,Flying,Fossil,Purple,Rock Head,Pressure,Unnerve,1,0,0,1.8,59,80,105,65,60,75,130,515
142,2,14202,Aerodactyl,Mega Aerodactyl,Rock,Flying,,Purple,Tough Claws,,,1,0,1,2.1,79,80,135,85,70,95,150,615
143,1,14301,Snorlax,,Normal,,Sleeping,Black,Immunity,Thick Fat,Gluttony,1,0,0,2.1,460,160,110,65,65,110,30,540
143,2,14302,Snorlax,Gigantamax,Normal,,,Black,Immunity,Thick Fat,Gluttony,1,0,0,2.1,460,160,110,65,65,110,30,540
144,1,14401,Articuno,Kantonian,Ice,Flying,Freeze,Blue,Pressure,,Snow Cloak,1,1,0,1.7,55.4,90,85,100,95,125,85,580
144,2,14402,Articuno,Galarian,Psychic,Flying,Cruel,Purple,Competitive,,,8,1,0,1.7,50.9,90,85,85,125,100,95,580
145,1,14501,Zapdos,Kantonian,Electric,Flying,Electric,Yellow,Pressure,,Static,1,1,0,1.6,52.6,90,90,85,125,90,100,580
145,2,14502,Zapdos,Galarian,Fighting,Flying,Strong Legs,Orange,Defiant,,,8,1,0,1.6,58.2,90,125,90,85,90,100,580
146,1,14601,Moltres,Kantonian,Fire,Flying,Flame,Yellow,Pressure,,Flame Body,1,1,0,2,60,90,100,90,125,85,90,580
146,2,14602,Moltres,Galarian,Dark,Flying,Malevolent,Pink,Berserk,,,8,1,0,2,66,90,85,90,100,125,90,580
147,1,14701,Dratini,,Dragon,,Dragon,Blue,Shed Skin,,Marvel Scale,1,0,0,1.8,3.3,41,64,45,50,50,50,300
148,1,14801,Dragonair,,Dragon,,Dragon,Blue,Shed Skin,,Marvel Scale,1,0,0,4,16.5,61,84,65,70,70,70,420
149,1,14901,Dragonite,,Dragon,Flying,Dragon,Brown,Inner Focus,,Multiscale,1,0,0,2.2,210,91,134,95,100,100,80,600
150,1,15001,Mewtwo,,Psychic,,Genetic,Purple,Pressure,,Unnerve,1,1,0,2,122,106,110,90,154,90,130,680
150,2,15002,Mewtwo,Mega Mewtwo X,Psychic,Fighting,,Purple,Steadfast,,,1,1,1,2.3,127,106,190,100,154,100,130,780
150,3,15003,Mewtwo,Mega Mewtwo Y,Psychic,,,Purple,Insomnia,,,1,1,1,1.5,33,106,150,70,194,120,140,780
151,1,15101,Mew,,Psychic,,New Species,Pink,Synchronize,,,1,1,0,0.4,4,100,100,100,100,100,100,600
152,1,15201,Chikorita,,Grass,,Leaf,Green,Overgrow,,Leaf guard,2,0,0,0.9,6.4,45,49,65,49,65,45,318
153,1,15301,Bayleef,,Grass,,Leaf,Green,Overgrow,,Leaf guard,2,0,0,1.2,15.8,60,62,80,63,80,60,405
154,1,15401,Meganium,,Grass,,Herb,Green,Overgrow,,Leaf guard,2,0,0,1.8,100.5,80,82,100,83,100,80,525
155,1,15501,Cyndaquil,,Fire,,Fire Mouse,Yellow,Blaze,,Flash Fire,2,0,0,0.5,7.9,39,52,43,60,50,65,309
156,1,15601,Quilava,,Fire,,Volcano,Yellow,Blaze,,Flash Fire,2,0,0,0.9,19,58,64,58,80,65,80,405
157,1,15701,Typhlosion,Johtonian,Fire,,Volcano,Yellow,Blaze,,Flash Fire,2,0,0,1.7,79.5,78,84,78,109,85,100,534
157,2,15702,Typhlosion,Hisuian,Fire,Ghost,Ghost Flame,Yellow,Blaze,,Frisk,8,0,0,1.6,69.8,73,84,78,119,85,95,534
158,1,15801,Totodile,,Water,,Big Jaw,Blue,Torrent,,Sheer Force,2,0,0,0.6,9.5,50,65,64,44,48,43,314
159,1,15901,Croconaw,,Water,,Big Jaw,Blue,Torrent,,Sheer Force,2,0,0,1.1,25,65,80,80,59,63,58,405
160,1,16001,Feraligatr,,Water,,Big Jaw,Blue,Torrent,,Sheer Force,2,0,0,2.3,88.8,85,105,100,79,83,78,530
161,1,16101,Sentret,,Normal,,Scout,Brown,Run Away,Keen Eye,Frisk,2,0,0,0.8,6,35,46,34,35,45,20,215
162,1,16201,Furret,,Normal,,Long Body,Brown,Run Away,Keen Eye,Frisk,2,0,0,1.8,32.5,85,76,64,45,55,90,415
163,1,16301,Hoothoot,,Normal,Flying,Owl,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262
164,1,16401,Noctowl,,Normal,Flying,Owl,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452
165,1,16501,Ledyba,,Bug,Flying,Five Star,Red,Swarm,Early Bird,Rattled,2,0,0,1,10.8,40,20,30,40,80,55,265
166,1,16601,Ledian,,Bug,Flying,Five Star,Red,Swarm,Early Bird,Iron Fist,2,0,0,1.4,35.6,55,35,50,55,110,85,390
167,1,16701,Spinarak,,Bug,Poison,String Spit,Green,Swarm,Insomnia,Sniper,2,0,0,0.5,8.5,40,60,40,40,40,30,250
168,1,16801,Ariados,,Bug,Poison,Long Leg,Red,Swarm,Insomnia,Sniper,2,0,0,1.1,33.5,70,90,70,60,70,40,400
169,1,16901,Crobat,,Poison,Flying,Bat,Purple,Inner Focus,,Infiltrator,2,0,0,1.8,75,85,90,80,70,80,130,535
170,1,17001,Chinchou,,Water,Electric,Angler,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12,75,38,38,56,56,67,330
171,1,17101,Lanturn,,Water,Electric,Light,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460
172,1,17201,Pichu,,Electric,,Tiny Mouse,Yellow,Static,,Lightning Rod,2,0,0,0.3,2,20,40,15,35,35,60,205
173,1,17301,Cleffa,,Fairy,,Star Shape,Pink,Cute Charm,Magic Guard,Friend Guard,2,0,0,0.3,3,50,25,28,45,55,15,218
174,1,17401,Igglybuff,,Normal,Fairy,Balloon,Pink,Cute Charm,Competitive,Friend Guard,2,0,0,0.3,1,90,30,15,40,20,15,210
175,1,17501,Togepi,,Fairy,,Spike Ball,White,Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245
176,1,17601,Togetic,,Fairy,Flying,Happiness,White,Hustle,Serene Grace,Super Luck,2,0,0,0.6,3.2,55,40,85,80,105,40,405
177,1,17701,Natu,,Psychic,Flying,Tiny Bird,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2,40,50,45,70,45,70,320
178,1,17801,Xatu,,Psychic,Flying,Mystic,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15,65,75,70,95,70,95,470
179,1,17901,Mareep,,Electric,,Wool,White,Static,,Plus,2,0,0,0.6,7.8,55,40,40,65,45,35,280
180,1,18001,Flaaffy,,Electric,,Wool,Pink,Static,,Plus,2,0,0,0.8,13.3,70,55,55,80,60,45,365
181,1,18101,Ampharos,,Electric,,Light,Yellow,Static,,Plus,2,0,0,1.4,61.5,90,75,85,115,90,55,510
181,2,18102,Ampharos,Mega Ampharos,Electric,Dragon,,Yellow,Mold Breaker,,,2,0,1,1.4,61.5,90,95,105,165,110,45,610
182,1,18201,Bellossom,,Grass,,Flower,Green,Chlorophyll,,Healer,2,0,0,0.4,5.8,75,80,95,90,100,50,490
183,1,18301,Marill,,Water,Fairy,Aqua Mouse,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.4,8.5,70,20,50,20,50,40,250
184,1,18401,Azumarill,,Water,Fairy,Aqua Rabbit,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.8,28.5,100,50,80,60,80,50,420
185,1,18501,Sudowoodo,,Rock,,Imitation,Brown,Sturdy,Rock Head,Rattled,2,0,0,1.2,38,70,100,115,30,65,30,410
186,1,18601,Politoed,,Water,,Frog,Green,Water Absorb,Damp,Drizzle,2,0,0,1.1,33.9,90,75,75,90,100,70,500
187,1,18701,Hoppip,,Grass,Flying,Cottonweed,Pink,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.4,0.5,35,35,40,35,55,50,250
188,1,18801,Skiploom,,Grass,Flying,Cottonweed,Green,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,1,55,45,50,45,65,80,340
189,1,18901,Jumpluff,,Grass,Flying,Cottonweed,Blue,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,3,75,55,70,55,95,110,460
190,1,19001,Aipom,,Normal,,Long Tail,Purple,Run Away,Pickup,Skill Link,2,0,0,0.6,11.5,55,70,55,40,55,85,360
191,1,19101,Sunkern,,Grass,,Seed,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.3,1.8,30,30,30,30,30,30,180
192,1,19201,Sunflora,,Grass,,Sun,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.8,8.5,75,75,55,105,85,30,425
193,1,19301,Yanma,,Bug,Flying,Clear Wing,Red,Speed Boost,Compound Eyes,Frisk,2,0,0,1.2,38,65,65,45,75,45,95,390
194,1,19401,Wooper,Johtonian,Water,Ground,Water Fish,Blue,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210
194,2,19402,Wooper,Paldean,Poison,Ground,Poison Fish,Brown,Poison Point,Water Absorb,,9,0,0,0.4,11,55,45,45,25,25,15,210
195,1,19501,Quagsire,,Water,Ground,Water Fish,Blue,Damp,Water Absorb,Unaware,2,0,0,1.4,75,95,85,85,65,65,35,430
196,1,19601,Espeon,,Psychic,,Sun,Purple,Synchronize,,Magic Bounce,2,0,0,0.9,26.5,65,65,60,130,95,110,525
197,1,19701,Umbreon,,Dark,,Moonlight,Black,Synchronize,,Inner Focus,2,0,0,1,27,95,65,110,60,130,65,525
198,1,19801,Murkrow,,Dark,Flying,Darkness,Black,Insomnia,Super Luck,Prankster,2,0,0,0.5,2.1,60,85,42,85,42,91,405
199,1,19901,Slowking,Johtonian,Water,Psychic,Royal,Pink,Oblivious,Own Tempo,Regenerator,2,0,0,2,79.5,95,75,80,100,110,30,490
199,2,19902,Slowking,Galarian,Poison,Psychic,Hexpert,Purple,Curious Medicine,Own Tempo,Regenerator,8,0,0,1.8,79.5,95,65,80,110,110,30,490
200,1,20001,Misdreavus,,Ghost,,Screech,Grey,Levitate,,,2,0,0,0.7,1,60,60,60,85,85,85,435
201,1,20101,Unown,A,Psychic,,Symbol,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,2,20102,Unown,B,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,3,20103,Unown,C,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,4,20104,Unown,D,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,5,20105,Unown,E,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,6,20106,Unown,F,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,7,20107,Unown,G,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,8,20108,Unown,H,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,9,20109,Unown,I,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,10,20110,Unown,J,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,11,20111,Unown,K,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,12,20112,Unown,L,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,13,20113,Unown,M,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,14,20114,Unown,N,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,15,20115,Unown,O,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,16,20116,Unown,P,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,17,20117,Unown,Q,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,18,20118,Unown,R,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,19,20119,Unown,S,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,20,20120,Unown,T,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,21,20121,Unown,U,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,22,20122,Unown,V,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,23,20123,Unown,W,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,24,20124,Unown,X,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,25,20125,Unown,Y,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,26,20126,Unown,Z,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,27,20127,Unown,!,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
201,28,20128,Unown,QU,Psychic,,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336
202,1,20201,Wobbuffet,,Psychic,,Patient,Blue,Shadow Tag,,Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405
203,1,20301,Girafarig,,Normal,Psychic,Long Neck,Yellow,Inner Focus,Early Bird,Sap Sipper,2,0,0,1.5,41.5,70,80,65,90,65,85,455
204,1,20401,Pineco,,Bug,,Bagworm,Grey,Sturdy,,Overcoat,2,0,0,0.6,7.2,50,65,90,35,35,15,290
205,1,20501,Forretress,,Bug,Steel,Bagworm,Purple,Sturdy,,Overcoat,2,0,0,1.2,125.8,75,90,140,60,60,40,465
206,1,20601,Dunsparce,,Normal,,Land Snake,Yellow,Serene Grace,Run Away,Rattled,2,0,0,1.5,14,100,70,70,65,65,45,415
207,1,20701,Gligar,,Ground,Flying,Fly Scorpion,Purple,Hyper Cutter,Sand Veil,Immunity,2,0,0,1.1,64.8,65,75,105,35,65,85,430
208,1,20801,Steelix,,Steel,Ground,Iron Snake,Grey,Rock Head,Sturdy,Sheer Force,2,0,0,9.2,400,75,85,200,55,65,30,510
208,2,20802,Steelix,Mega Steelix,Steel,Ground,,Grey,Sand Force,,,2,0,1,10.5,740,75,125,230,55,95,30,610
209,1,20901,Snubbull,,Fairy,,Fairy,Pink,Intimidate,Run Away,Rattled,2,0,0,0.6,7.8,60,80,50,40,40,30,300
210,1,21001,Granbull,,Fairy,,Fairy,Purple,Intimidate,Quick Feet,Rattled,2,0,0,1.4,48.7,90,120,75,60,60,45,450
211,1,21101,Qwilfish,Johtonian,Water,Poison,Balloon,Green,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440
211,2,21102,Qwilfish,Hisuian,Dark,Poison,,Black,Poison Point,Swift Swim,Intimidate,8,0,0,0.5,3.9,65,95,85,55,55,85,440
212,1,21201,Scizor,,Bug,Steel,Pincer,Red,Swarm,Technician,Light Metal,2,0,0,1.8,118,70,130,100,55,80,65,500
212,2,21202,Scizor,Mega Scizor,Bug,Steel,,Red,Technician,,,2,0,1,2,125,70,150,140,65,100,75,600
213,1,21301,Shuckle,,Bug,Rock,Mold,Yellow,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505
214,1,21401,Heracross,,Bug,Fighting,Single Horn,Blue,Swarm,Guts,Moxie,2,0,0,1.5,54,80,125,75,40,95,85,500
214,2,21402,Heracross,Mega Heracross,Bug,Fighting,,Blue,Skill Link,,,2,0,1,1.7,62.5,80,185,115,40,105,75,600
215,1,21501,Sneasel,Johtonian,Dark,Ice,Sharp Claw,Black,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28,55,95,55,35,75,115,430
215,2,21502,Sneasel,Hisuian,Fighting,Poison,,Grey,Inner Focus,Keen Eye,Pickpocket,8,0,0,0.9,27,55,95,55,35,75,115,430
216,1,21601,Teddiursa,,Normal,,Little Bear,Brown,Pickup,Quick Feet,Honey Gather,2,0,0,0.6,8.8,60,80,50,50,50,40,330
217,1,21701,Ursaring,,Normal,,Hibernator,Brown,Guts,Quick Feet,Unnerve,2,0,0,1.8,125.8,90,130,75,75,75,55,500
218,1,21801,Slugma,,Fire,,Lava,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.7,35,40,40,40,70,40,20,250
219,1,21901,Magcargo,,Fire,Rock,Lava,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.8,55,60,50,120,90,80,30,430
220,1,22001,Swinub,,Ice,Ground,Pig,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250
221,1,22101,Piloswine,,Ice,Ground,Swine,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450
222,1,22201,Corsola,Johtonian,Water,Rock,Coral,Pink,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5,65,55,95,65,95,35,410
222,2,22202,Corsola,Galarian,Ghost,,,White,Weak Armor,,Cursed Body,8,0,0,0.6,0.5,65,55,100,65,100,30,415
223,1,22301,Remoraid,,Water,,Jet,Grey,Hustle,Sniper,Moody,2,0,0,0.6,12,35,65,35,65,35,65,300
224,1,22401,Octillery,,Water,,Jet,Red,Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480
225,1,22501,Delibird,,Ice,Flying,Delivery,Red,Vital Spirit,Hustle,Insomnia,2,0,0,0.9,16,45,55,45,65,45,75,330
226,1,22601,Mantine,,Water,Flying,Kite,Purple,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220,85,40,70,80,140,70,485
227,1,22701,Skarmory,,Steel,Flying,Armor Bird,Grey,Keen Eye,Sturdy,Weak Armor,2,0,0,1.7,50.5,65,80,140,40,70,70,465
228,1,22801,Houndour,,Dark,Fire,Dark,Black,Early Bird,Flash Fire,Unnerve,2,0,0,0.6,10.8,45,60,30,80,50,65,330
229,1,22901,Houndoom,,Dark,Fire,Dark,Black,Early Bird,Flash Fire,Unnerve,2,0,0,1.4,35,75,90,50,110,80,95,500
229,2,22902,Houndoom,Mega Houndoom,Dark,Fire,,Black,Solar Power,,,2,0,1,1.9,49.5,75,90,90,140,90,115,600
230,1,23001,Kingdra,,Water,Dragon,Dragon,Blue,Swift Swim,Sniper,Damp,2,0,0,1.8,152,75,95,95,95,95,85,540
231,1,23101,Phanpy,,Ground,,Long Nose,Blue,Pickup,,Sand Veil,2,0,0,0.5,33.5,90,60,60,40,40,40,330
232,1,23201,Donphan,,Ground,,Armor,Grey,Sturdy,,Sand Veil,2,0,0,1.1,120,90,120,120,60,60,50,500
233,1,23301,Porygon2,,Normal,,Virtual,Red,Trace,Download,Analytic,2,0,0,0.6,32.5,85,80,90,105,95,60,515
234,1,23401,Stantler,,Normal,,Big Horn,Brown,Intimidate,Frisk,Sap Sipper,2,0,0,1.4,71.2,73,95,62,85,65,85,465
235,1,23501,Smeargle,,Normal,,Painter,White,Own Tempo,Technician,Moody,2,0,0,1.2,58,55,20,35,20,45,75,250
236,1,23601,Tyrogue,,Fighting,,Scuffle,Purple,Guts,Steadfast,Vital Spirit,2,0,0,0.7,21,35,35,35,35,35,35,210
237,1,23701,Hitmontop,,Fighting,,Handstand,Brown,Intimidate,Technician,Steadfast,2,0,0,1.4,48,50,95,95,35,110,70,455
238,1,23801,Smoochum,,Ice,Psychic,Kiss,Pink,Oblivious,Forewarn,Hydration,2,0,0,0.5,6,45,30,15,85,65,65,305
239,1,23901,Elekid,,Electric,,Electric,Yellow,Static,,Vital Spirit,2,0,0,0.6,23.5,45,63,37,65,55,95,360
240,1,24001,Magby,,Fire,,Live Coal,Red,Flame Body,,Vital Spirit,2,0,0,0.7,21.4,45,75,37,70,55,83,365
241,1,24101,Miltank,,Normal,,Milk Cow,Pink,Thick Fat,Scrappy,Sap Sipper,2,0,0,1.2,75.5,95,80,105,40,70,100,490
242,1,24201,Blissey,,Normal,,Happiness,Pink,Natural Cure,Serene Grace,Healer,2,0,0,1.5,46.8,255,10,10,75,135,55,540
243,1,24301,Raikou,,Electric,,Thunder,Yellow,Pressure,,Inner Focus,2,1,0,1.9,178,90,85,75,115,100,115,580
244,1,24401,Entei,,Fire,,Volcano,Brown,Pressure,,Inner Focus,2,1,0,2.1,198,115,115,85,90,75,100,580
245,1,24501,Suicune,,Water,,Aurora,Blue,Pressure,,Inner Focus,2,1,0,2,187,100,75,115,90,115,85,580
246,1,24601,Larvitar,,Rock,Ground,Rock Skin,Green,Guts,,Sand Veil,2,0,0,0.6,72,50,64,50,45,50,41,300
247,1,24701,Pupitar,,Rock,Ground,Hard Shell,Grey,Shed Skin,,,2,0,0,1.2,152,70,84,70,65,70,51,410
248,1,24801,Tyranitar,,Rock,Dark,Armor,Green,Sand Stream,,Unnerve,2,0,0,2,202,100,134,110,95,100,61,600
248,2,24802,Tyranitar,Mega Tyranitar,Rock,Dark,,Green,Sand Stream,,,2,0,1,2,255,100,164,150,95,120,71,700
249,1,24901,Lugia,,Psychic,Flying,Diving,White,Pressure,,Multiscale,2,1,0,5.2,216,106,90,130,90,154,110,680
250,1,25001,Ho-Oh,,Fire,Flying,Rainbow,Red,Pressure,,Regenerator,2,1,0,3.8,199,106,130,90,110,154,90,680
251,1,25101,Celebi,,Psychic,Grass,Time Travel,Green,Natural Cure,,,2,0,0,0.6,5,100,100,100,100,100,100,600
252,1,25201,Treecko,,Grass,,Wood Gecko,Green,Overgrow,,Unburden,3,0,0,0.5,5,40,45,35,65,55,70,310
253,1,25301,Grovyle,,Grass,,Wood Gecko,Green,Overgrow,,Unburden,3,0,0,0.9,21.6,50,65,45,85,65,95,405
254,1,25401,Sceptile,,Grass,,Forest,Green,Overgrow,,Unburden,3,0,0,1.7,52.2,70,85,65,105,85,120,530
254,2,25402,Sceptile,Mega Sceptile,Grass,Dragon,,Green,Lightning Rod,,,3,0,1,1.9,55.2,70,110,75,145,85,145,630
255,1,25501,Torchic,,Fire,,Chick,Red,Blaze,,Speed Boost,3,0,0,0.4,2.5,45,60,40,70,50,45,310
256,1,25601,Combusken,,Fire,Fighting,Young Fowl,Red,Blaze,,Speed Boost,3,0,0,0.9,19.5,60,85,60,85,60,55,405
257,1,25701,Blaziken,,Fire,Fighting,Blaze,Red,Blaze,,Speed Boost,3,0,0,1.9,52,80,120,70,110,70,80,530
257,2,25702,Blaziken,Mega Blaziken,Fire,Fighting,,Red,Speed Boost,,,3,0,1,1.9,52,80,160,80,130,80,100,630
258,1,25801,Mudkip,,Water,,Mud Fish,Blue,Torrent,,Damp,3,0,0,0.4,7.6,50,70,50,50,50,40,310
259,1,25901,Marshtomp,,Water,Ground,Mud Fish,Blue,Torrent,,Damp,3,0,0,0.7,28,70,85,70,60,70,50,405
260,1,26001,Swampert,,Water,Ground,Mud Fish,Blue,Torrent,,Damp,3,0,0,1.5,81.9,100,110,90,85,90,60,535
260,2,26002,Swampert,Mega Swampert,Water,Ground,,Blue,Swift Swim,,,3,0,1,1.9,102,100,150,110,95,110,70,635
261,1,26101,Poochyena,,Dark,,Bite,Grey,Run Away,Quick Feet,Rattled,3,0,0,0.5,13.6,35,55,35,30,30,35,220
262,1,26201,Mightyena,,Dark,,Bite,Grey,Intimidate,Quick Feet,Moxie,3,0,0,1,37,70,90,70,60,60,70,420
263,1,26301,Zigzagoon,Hoennian,Normal,,Tiny Raccoon,Brown,Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240
263,2,26302,Zigzagoon,Galarian,Dark,Normal,,White,Pickup,Gluttony,Quick Feet,8,0,0,0.4,17.5,38,30,41,30,41,60,240
264,1,26401,Linoone,Hoennian,Normal,,Rushing,White,Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420
264,2,26402,Linoone,Galarian,Dark,Normal,,White,Pickup,Gluttony,Quick Feet,8,0,0,0.5,32.5,78,70,61,50,61,100,420
265,1,26501,Wurmple,,Bug,,Worm,Red,Shield Dust,,Run Away,3,0,0,0.3,3.6,45,45,35,20,30,20,195
266,1,26601,Silcoon,,Bug,,Cocoon,White,Shed Skin,,,3,0,0,0.6,10,50,35,55,25,25,15,205
267,1,26701,Beautifly,,Bug,Flying,Butterfly,Yellow,Swarm,,Rivalry,3,0,0,1,28.4,60,70,50,100,50,65,395
268,1,26801,Cascoon,,Bug,,Cocoon,Purple,Shed Skin,,,3,0,0,0.7,11.5,50,35,55,25,25,15,205
269,1,26901,Dustox,,Bug,Poison,Poison Moth,Green,Shield Dust,,Compound Eyes,3,0,0,1.2,31.6,60,50,70,50,90,65,385
270,1,27001,Lotad,,Water,Grass,Water Weed,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220
271,1,27101,Lombre,,Water,Grass,Jolly,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340
272,1,27201,Ludicolo,,Water,Grass,Carefree,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.5,55,80,70,70,90,100,70,480
273,1,27301,Seedot,,Grass,,Acorn,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4,40,40,50,30,30,30,220
274,1,27401,Nuzleaf,,Grass,Dark,Wily,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1,28,70,70,40,60,40,60,340
275,1,27501,Shiftry,,Grass,Dark,Wicked,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.3,59.6,90,100,60,90,60,80,480
276,1,27601,Taillow,,Normal,Flying,Tiny Swallow,Blue,Guts,,Scrappy,3,0,0,0.3,2.3,40,55,30,30,30,85,270
277,1,27701,Swellow,,Normal,Flying,Swallow,Blue,Guts,,Scrappy,3,0,0,0.7,19.8,60,85,60,75,50,125,455
278,1,27801,Wingull,,Water,Flying,Seagull,White,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270
